questions,answers
What are the four main variants of the A320 family?,"The four main variants are A318, A319, A320, and A321."
What is the common fuselage design feature of the A320 family?,They share a standard six-abreast economy class configuration.
How many seats can the A320 family accommodate?,The A320 family can accommodate between 107 and 185 seats.
How does the A321’s seating capacity compare to the 737-900ER?,The A321 has five more seats than the 737-900ER.
What is the width of the seats in the A320 family compared to its competitors?,The A320 family offers seats that are 1 inch wider than those in the 737/757 rivals.
What is the primary feature of the A320 family’s flight control system?,The A320 family features a fly-by-wire (FBW) flight control system.
What type of pilot rating do A320 family variants share?,They have a common pilot type rating.
How does the A320 family reduce operating costs?,It provides high commonality in flightcrew and maintenance-related costs.
What is the principal variant of the A320 family?,The principal variant is the A320.
What is the typical seating configuration for the A320 in a two-class layout?,The A320 typically has 12 first-class and 138 economy seats.
What is the maximum seating capacity of the A320 in an all-economy layout?,The maximum seating capacity is 164 seats.
"What is the fuel capacity of the initial A320 model, the A320-100?","The fuel capacity is 4,185 US Gallons (USG)."
What is the maximum take-off weight (MTOW) of the A320-100?,"The MTOW is 145,504 lbs."
How far can the A320-100 fly with a load of 164 passengers?,"It has a range of about 1,800 nautical miles (nm)."
How many A320-100 series aircraft were ordered?,Only 19 A320-100 series aircraft were ordered.
What is the MTOW of the A320-200 model?,"The MTOW of the A320-200 is 162,040 lbs (73.5 tonnes)."
What is the fuel capacity of the A320-200?,"The fuel capacity is 6,300 USG."
What is the extended range of the A320-200 variant?,"The extended range is 2,600 nm."
What is the thrust rating of the CFM56-5A3 engine?,"The CFM56-5A3 engine is rated at 26,500 lbs thrust."
What modification allowed the CFM56-5B series to provide higher thrust?,An additional high-pressure compressor (HPC) stage was added.
What thrust rating was first offered on the A320 in the mid-1990s?,"The CFM56-5B4 engine rated at 27,000 lbs thrust."
What is the maximum gross weight of the highest MTOW variant of the A320?,"The maximum gross weight is 169,750 lbs (77.0 tonnes)."
What can the supplementary fuel tanks increase the total capacity to?,"The total capacity can be increased to 7,066 USG."
What are the three MTOW variants of the A320?,"The MTOW variants are 162,050 lbs (73.5 tonnes), 166,450 lbs (75.5 tonnes), and 169,750 lbs (77.0 tonnes)."
What engine thrust variants are available for the A320 family?,"The available engine thrust variants are -5B4 (27,000 lbs), -5B5 (22,000 lbs), and -5B6 (23,500 lbs)."
What are the benefits of using high-rated engines on the A320 family?,High-rated engines provide better field performance but result in higher fuel burn.
What engine was developed by International Aero Engines (IAE) for the A320-200?,The V.2500-A1 engine was developed for the A320-200.
